t,h10,h18
147,87982.145,101950.66333333333
148,87914.175,101954.43333333333
149,87882.875,101937.46333333333
150,87967.515,102002.89333333333
151,87989.185,102066.40333333334
152,87979.345,102173.38333333333
153,87997.145,102046.47333333333
154,88114.665,102020.89333333333
155,88136.725,101974.93333333333
156,88074.005,102010.68333333333
157,88003.825,102063.15333333334
158,87992.465,102047.55333333333
159,88080.835,102077.57333333333
160,88196.815,101964.82333333333
161,88088.915,101693.02333333333
162,88166.755,101626.77333333333
163,88115.815,101627.69333333333
164,88069.735,101604.60333333333
165,87989.685,101614.54333333333
166,87961.575,101740.61333333333
167,88031.285,101812.60333333333
168,88029.355,101872.67333333332
169,87967.975,101832.63333333333
170,88022.205,101814.29333333333
171,88017.395,101847.93333333333
172,88037.755,101999.17333333332
173,88095.975,102018.16333333333
174,88009.125,101947.23333333332
175,88012.965,102019.66333333333
176,87909.985,101961.68333333333
177,87870.285,101970.60333333333
178,87911.465,101929.70333333332
179,87814.335,101951.50333333333
180,87758.295,101967.41333333333
181,87763.785,101962.26333333332
182,87723.775,101927.68333333333
183,87571.385,101898.71333333333
184,87596.185,101843.05333333333
185,87480.815,101800.71333333333
186,87447.005,101772.45333333332
187,87449.565,101681.13333333333
188,87441.975,101682.66333333333
189,87493.855,101734.91333333333
190,87484.345,101756.13333333333
191,87535.425,101778.09333333332
192,87784.125,101774.14333333333
193,87844.135,101873.36333333333
194,87901.275,101909.95333333332
195,88031.395,101871.35333333333
196,88087.215,101860.67333333332
197,88040.775,101782.46333333333
198,88036.115,101783.37333333332
199,88070.905,101832.07333333333
200,87991.275,101786.17333333332
201,87818.185,101810.86333333333
202,88053.645,101808.08333333333
203,88093.455,101818.34333333332
204,88147.045,101725.01333333332
205,88135.985,101645.90333333334
206,88164.225,101609.22333333333
207,88105.515,101501.99333333333
208,88249.295,101419.42333333332
209,88219.205,101455.96333333333
210,88209.375,101371.66333333333
211,88206.975,101379.85333333333
212,88240.485,101367.23333333332
213,88341.565,101379.82333333333
214,88437.525,101427.07333333333
215,88294.405,101459.54333333333
216,88392.045,101366.25333333333
217,88481.505,101310.67333333332
218,88462.015,101316.98333333332
219,88490.625,101523.91333333333
220,88457.445,101655.09333333332
221,88334.635,101707.88333333333
222,88210.415,101821.81333333332
223,87958.725,101941.73333333332
224,87833.615,101946.84333333332
225,87856.455,101940.04333333333
226,87851.245,102014.73333333332
227,87920.675,101965.12333333332
228,87851.825,102043.27333333333
229,87801.105,102034.03333333333
230,87726.045,102107.21333333333
231,87707.175,102121.79333333333
232,87690.125,102119.59333333332
233,87759.275,102119.13333333333
234,87831.505,102163.10333333333
235,87820.225,102059.59333333332
236,87766.025,101961.33333333333
237,87792.165,101922.15333333334
238,87716.915,101932.11333333333
239,87792.985,101807.50333333333
240,87891.695,101737.49333333333
241,87842.335,101740.08333333333
242,87855.325,101801.01333333332
243,87741.365,101814.46333333333
244,87742.045,101728.89333333333
245,87711.725,101785.83333333333
246,87748.765,101845.34333333332
247,87867.795,101832.26333333332
248,88109.435,101810.62333333332
249,88084.965,101706.42333333332
250,87939.455,101635.47333333333
251,87878.615,101577.67333333332
252,87905.965,101621.12333333332
253,87926.385,101548.34333333332
254,87977.635,101549.36333333333
255,88022.025,101527.93333333333
256,87968.545,101566.92333333332
257,87864.075,101519.74333333333
258,87918.375,101477.69333333333
259,87973.445,101464.65333333334
260,87999.745,101419.04333333333
261,88012.705,101397.07333333333
262,87914.025,101343.28333333333
263,87873.385,101323.21333333333
264,87848.185,101431.04333333333
265,87780.415,101450.57333333333
266,87804.455,101485.23333333332
267,87836.465,101577.44333333333
268,87895.905,101645.71333333333
269,87802.025,101690.02333333333
270,87769.685,101594.97333333333
271,87747.495,101570.97333333333
272,87680.065,101363.31333333332
273,87597.205,101167.02333333333
274,87567.195,101065.86333333333
275,87584.885,101056.51333333332
276,87527.745,101063.86333333333
277,87504.555,101058.56333333332
278,87466.485,101128.49333333333
279,87451.585,101100.53333333333
280,87423.875,101109.22333333333
281,87393.355,101110.58333333333
282,87415.325,101169.38333333333
283,87392.055,101372.88333333333
284,87406.425,101457.70333333332
285,87432.215,101509.55333333333
286,87525.135,101619.75333333333
287,87600.155,101689.78333333333
288,87616.765,101715.46333333333
289,87755.945,101743.62333333332
290,87899.935,101800.12333333332
291,87917.565,101878.36333333333
292,87931.465,101982.48333333332
293,87979.355,102029.20333333332
294,88054.165,102031.57333333333
295,88078.415,102057.46333333333
296,88164.225,102065.28333333333
297,88247.345,102163.83333333333
298,88193.205,102212.05333333333
299,88174.235,102335.17333333332
300,88584.94666666667,102349.77
301,88526.90666666668,102248.76
302,88647.46666666667,102234.62
303,88730.41666666667,102175.97
304,88778.44666666667,102035.22
305,88869.39666666667,101941.1
306,88892.98666666668,101924.66
307,88952.31666666667,101918.87
308,88966.97666666667,101826.06
309,88941.68666666668,101772.46
310,88983.10666666667,101744.22
311,88974.34666666666,101756.72
312,88977.24666666667,101660.29
313,88908.44666666667,101566.87
314,88856.66666666667,101557.88
315,88821.94666666667,101579.98
316,88822.52666666667,101579.17
317,88863.95666666667,101512.21
318,88879.72666666667,101515.67
319,88924.07666666668,101524.26
320,88963.31666666667,101630.45
321,88880.96666666667,101663.62
322,88844.76666666668,101642.48
323,88827.68666666668,101571.46
324,88772.90666666668,101518.82
325,88698.49666666667,101528.48
326,88614.45666666667,101598.31
327,88568.04666666668,101665.54
328,88590.07666666668,101606.69
329,88625.29666666668,101618.65
330,88588.46666666667,101499.06
331,88533.56666666667,101583.48
332,88547.83666666667,101672.43
333,88546.29666666668,101679.16
334,88500.33666666667,101703.01
335,88492.04666666668,101639.18
336,88585.87666666668,101625.4
337,88535.65666666668,101619.68
338,88540.84666666666,101698.73
339,88525.05666666667,101747.87
340,88501.20666666667,101737.37
341,88496.76666666668,101671.92
342,88472.32666666668,101653.56
343,88419.59666666666,101660.64
344,88374.82666666668,101722.51
345,88419.56666666667,101661.87
346,88470.33666666667,101672.64
347,88462.48666666668,101629.06
348,88489.29666666668,101707.36
349,88548.88666666667,101744.23
350,88490.98666666668,101763.06
351,88492.84666666666,101783.36
352,88544.64666666667,101754.03
353,88548.76666666668,101733.34
354,88572.06666666667,101762.94
355,88506.31666666667,101878.38
356,88495.41666666667,101889.3
357,88497.68666666668,101869.05
358,88462.67666666667,101965.11
359,88545.19666666667,101967.97
360,88595.51666666668,101930.96
361,88471.87666666668,101885.05
362,88614.24666666667,101819.78
363,88490.74666666667,101882.49
364,88419.74666666667,101959.53
365,88333.57666666668,101893.64
366,88332.50666666667,101852.4
367,88535.60666666667,101713.15
368,88486.25666666667,101693.95
369,88506.80666666667,101612.31
370,88441.86666666667,101545.18
371,88457.76666666668,101440.0
372,88497.76666666668,101372.72
373,88502.05666666667,101373.55
374,88540.94666666667,101327.0
375,88495.63666666667,101350.01
376,88531.18666666668,101444.47
377,88532.59666666666,101507.83
378,88590.48666666668,101566.23
379,88649.84666666666,101586.28
380,88646.81666666667,101658.78
381,88584.25666666667,101584.6
382,88635.72666666667,101649.98
383,88613.05666666667,101837.53
384,88597.02666666667,101820.38
385,88564.86666666667,101745.6
386,88557.33666666667,101729.15
387,88673.21666666667,101700.31
388,88686.47666666667,101722.97
389,88812.99666666667,101704.48
390,88825.45666666667,101783.78
391,88734.69666666667,101816.46
392,88746.13666666667,101807.93
393,88690.61666666667,101787.19
394,88738.35666666667,101796.03
395,88785.86666666667,101717.67
396,88805.83666666667,101739.95
397,88824.69666666667,101718.42
398,88784.36666666667,101745.74
399,88775.62666666668,101770.04
400,88924.28666666667,101811.79
401,88935.14666666667,101833.82
402,88887.05666666667,101876.78
403,88898.76666666668,101759.47
404,88922.91666666667,101733.76
405,88822.86666666667,101713.06
406,88830.28666666667,101767.28
407,88790.66666666667,101883.77
408,88770.63666666667,101823.25
409,88693.41666666667,101773.61
410,88719.21666666667,101740.32
411,88749.31666666667,101727.31
412,88727.93666666668,101793.13
413,88677.31666666667,101718.17
414,88630.59666666666,101767.11
415,88593.55666666667,101807.36
416,88633.88666666667,101876.03
417,88616.88666666667,101821.66
418,88566.71666666667,101868.18
419,88609.19666666667,101905.22
420,88571.48666666668,102029.88
421,88524.70666666667,102092.14
422,88526.22666666667,102009.22
423,88408.20666666667,101994.52
424,88354.61666666667,101901.12
425,88428.68666666668,101880.08
426,88318.75666666667,101850.62
427,88230.64666666667,101867.42
428,88182.19666666667,101812.49
429,88166.83666666667,101830.77
430,88104.20666666667,101858.81
431,88023.01666666668,101890.35
432,87992.39666666667,101878.2
433,87999.38666666667,101869.62
434,88011.38666666667,101940.41
435,88081.36666666667,102081.16
436,88177.02666666667,102060.61
437,88229.97666666667,102030.46
438,88195.68666666668,102082.9
439,88220.01666666668,102126.81
440,88185.07666666668,102198.09
441,88060.97666666667,102144.56
442,88056.93666666668,102171.32
443,87976.65666666668,102107.99
444,87858.64666666667,101986.97
445,87801.65666666668,101970.4
446,87741.66666666667,101892.67
447,87706.47666666667,101906.78
448,87688.42666666667,101878.14
449,87627.99666666667,101830.85
450,87598.38666666667,101831.69
451,87629.90666666668,101807.54
452,87670.16666666667,101777.22
453,87689.43666666668,101807.59
454,87690.55666666667,101860.17
455,87671.68666666668,101838.22
456,87584.07666666668,101736.14
457,87505.52666666667,101599.84
458,87512.35666666667,101666.93
459,87361.19666666667,101797.17
460,87301.40666666668,101791.41
461,87181.73666666668,101734.34
462,87143.61666666667,101763.23
463,87256.66666666667,101778.71
464,87299.07666666668,101820.61
465,87355.34666666666,101757.23
466,87509.41666666667,101749.74
467,87540.32666666668,101857.4
468,87651.80666666667,101836.31
469,87612.91666666667,101820.35
470,87699.67666666667,101840.37
471,87885.02666666667,101929.19
472,87999.94666666667,101920.13
473,88084.85666666667,101967.45
474,88186.21666666667,101900.05
475,88154.20666666667,101802.29
476,88175.59666666666,101899.79
477,88293.69666666667,101875.32
478,88312.89666666667,101862.78
479,88252.60666666667,101863.41
480,88216.70666666667,101683.26
481,88199.15666666668,101636.94
482,88219.48666666668,101600.09
483,88245.48666666668,101491.66
484,88325.62666666668,101324.66
485,88362.93666666668,101239.37
486,88370.66666666667,101020.56
487,88462.91666666667,100932.06
488,88490.91666666667,100840.43
489,88479.03666666667,100868.16
490,88476.22666666667,100819.76
491,88461.20666666667,100870.94
492,88526.67666666667,100910.18
493,88490.53666666667,100861.57
494,88486.54666666668,100910.81
495,88481.57666666668,101002.69
496,88474.16666666667,101120.75
497,88447.00666666667,101373.04
498,88386.75666666667,101362.28
499,88360.64666666667,101508.0
500,88313.12666666668,101589.79
501,88298.12666666668,101544.67
502,88310.15666666668,101621.9
503,88320.80666666667,101600.97
504,88299.01666666668,101673.92
505,88263.99666666667,101711.83
506,88304.53666666667,101715.13
507,88400.31666666667,101752.16
508,88371.56666666667,101843.46
509,88349.75666666667,101879.33
510,88292.67666666667,101846.22
511,88287.04666666668,101828.7
512,88359.72666666667,101961.92
513,88250.80666666667,101948.96
514,88184.88666666667,101872.0
515,88174.54666666668,101859.75
516,88190.68666666668,101720.79
517,88147.32666666668,101601.27
518,88084.12666666668,101470.32
519,88157.04666666668,101391.38
520,88244.59666666666,101421.9
521,88238.16666666667,101342.44
522,88296.39666666667,101359.72
523,88257.33666666667,101392.39
524,88382.40666666668,101429.97
525,88354.99666666667,101533.71
526,88376.65666666668,101631.79
527,88354.61666666667,101757.67
528,88321.72666666667,101666.16
529,88362.19666666667,101704.63
530,88434.73666666668,101752.01
531,88553.12666666668,101773.25
532,88592.46666666667,101712.95
533,88523.23666666668,101798.27
534,88504.99666666667,101784.8
535,88485.01666666668,101767.67
536,88476.58666666667,101711.75
537,88447.97666666667,101592.05
538,88571.50666666667,101566.97
539,88661.21666666667,101651.47
540,88663.39666666667,101692.45
541,88765.71666666667,101612.99
542,88768.58666666667,101555.37
543,88688.48666666668,101552.21
544,88788.76666666668,101588.6
545,88861.53666666667,101635.61
546,88917.98666666668,101658.65
547,89014.78666666667,101548.04
548,88994.05666666667,101576.79
549,89006.15666666668,101548.55
550,89015.46666666667,101662.07
551,89064.49666666667,101650.31
552,89032.33666666667,101585.65
553,89005.73666666668,101514.48
554,89008.58666666667,101564.13
555,89040.42666666667,101695.52
556,89021.06666666667,101625.64
557,89008.23666666668,101556.31
558,88991.99666666667,101592.66
559,88986.79666666668,101645.2
560,89002.48666666668,101654.13
561,89123.46666666667,101515.23
562,89022.70666666667,101470.78
563,88980.68666666668,101487.22
564,88971.98666666668,101505.55
565,88862.85666666667,101450.88
566,88823.25666666667,101471.49
567,88728.16666666667,101519.04
568,88661.13666666667,101588.44
569,88531.59666666666,101593.4
570,88445.10666666667,101635.39
571,88405.24666666667,101618.3
572,88358.44666666667,101573.14
573,88300.67666666667,101522.51
574,88217.94666666667,101608.32
575,88136.56666666667,101567.56
576,88169.76666666668,101558.35
577,88203.86666666667,101495.35
578,88156.44666666667,101468.66
579,88223.01666666668,101502.96
580,88217.53666666667,101409.16
581,88250.31666666667,101288.47
582,88297.06666666667,101363.74
583,88276.99666666667,101453.03
584,88300.43666666668,101622.07
585,88318.13666666667,101672.37
586,88304.81666666667,101718.42
587,88247.82666666668,101644.95
588,88276.60666666667,101698.48
589,88264.69666666667,101649.23
590,88259.81666666667,101676.84
591,88318.01666666668,101626.03
592,88330.93666666668,101583.18
593,88240.09666666666,101572.25
594,88200.84666666666,101632.68
595,88160.62666666668,101735.33
596,88082.03666666667,101801.59
597,88028.52666666667,101708.25
598,88044.68666666668,101759.9
599,88056.89666666667,101793.95
600,88460.32333333333,101749.40833333333
601,88505.52333333333,101689.92833333333
602,88461.50333333333,101750.43833333332
603,88460.19333333333,101810.64833333333
604,88583.38333333333,101723.23833333333
605,88594.03333333333,101679.34833333333
606,88578.21333333333,101653.38833333332
607,88622.42333333332,101619.42833333333
608,88653.98333333332,101570.51833333333
609,88671.21333333333,101527.52833333334
610,88650.23333333332,101445.48833333333
611,88699.74333333333,101398.75833333333
612,88619.38333333333,101530.78833333333
613,88552.23333333332,101605.24833333332
614,88517.18333333333,101605.91833333333
615,88559.37333333332,101563.25833333333
616,88640.00333333333,101519.81833333333
617,88679.98333333332,101443.58833333333
618,88600.19333333333,101430.33833333333
619,88588.88333333333,101417.04833333332
620,88666.78333333333,101478.39833333333
621,88625.28333333333,101539.41833333333
622,88641.74333333333,101527.16833333333
623,88649.95333333332,101644.85833333332
624,88635.84333333332,101664.29833333332
625,88765.26333333332,101752.07833333332
626,88779.07333333333,101821.38833333332
627,88865.45333333332,101832.95833333333
628,88853.89333333333,101896.27833333334
629,88806.97333333333,101881.59833333333
630,88763.48333333332,101868.98833333333
631,88702.47333333333,101845.25833333333
632,88699.43333333333,101865.52833333334
633,88768.73333333332,101818.42833333333
634,88860.35333333333,101845.94833333333
635,88823.50333333333,101891.08833333333
636,88717.51333333332,101861.02833333334
637,88636.62333333332,101890.12833333333
638,88672.04333333333,101872.54833333332
639,88734.39333333333,101841.67833333333
640,88679.09333333332,101811.32833333332
641,88645.66333333333,101724.87833333333
642,88664.70333333332,101723.55833333333
643,88756.08333333333,101826.40833333333
644,88780.83333333333,101840.47833333333
645,88765.13333333333,101792.60833333332
646,88730.96333333333,101743.39833333333
647,88729.72333333333,101687.22833333333
648,88710.42333333332,101619.25833333333
649,88644.78333333333,101587.95833333333
650,88633.57333333333,101672.59833333333
651,88744.70333333332,101694.26833333333
652,88794.33333333333,101684.42833333333
653,88772.49333333333,101702.22833333333
654,88797.33333333333,101819.74833333332
655,88800.96333333333,101841.80833333333
656,88806.15333333334,101779.08833333333
657,88722.89333333333,101708.90833333333
658,88633.79333333333,101697.54833333332
659,88679.42333333332,101785.91833333333
660,88679.89333333333,101901.89833333333
661,88704.43333333333,101793.99833333332
662,88745.64333333333,101871.83833333333
663,88779.89333333333,101820.89833333333
664,88809.24333333333,101774.81833333333
665,88770.02333333333,101694.76833333333
666,88706.47333333333,101666.65833333333
667,88693.96333333333,101736.36833333333
668,88810.49333333333,101734.43833333332
669,88809.98333333332,101673.05833333333
670,88806.31333333332,101727.28833333333
671,88785.19333333333,101722.47833333333
672,88709.98333333332,101742.83833333333
673,88657.11333333333,101801.05833333333
674,88678.88333333333,101714.20833333333
675,88690.35333333333,101718.04833333332
676,88568.18333333333,101615.06833333333
677,88581.52333333333,101575.36833333333
678,88619.38333333333,101616.54833333332
679,88656.28333333333,101519.41833333333
680,88694.74333333333,101463.37833333333
681,88660.80333333333,101468.86833333333
682,88720.70333333332,101428.85833333332
683,89075.91333333333,101276.46833333332
684,89175.59333333332,101301.26833333333
685,89091.64333333333,101185.89833333333
686,89024.51333333332,101152.08833333333
687,89130.26333333332,101154.64833333333
688,89138.78333333333,101147.05833333333
689,89012.18333333333,101198.93833333332
690,88989.64333333333,101189.42833333333
691,88993.74333333333,101240.50833333333
692,88990.33333333333,101489.20833333333
693,88957.09333333332,101549.21833333332
694,88933.38333333333,101606.35833333332
695,88866.25333333333,101736.47833333333
696,88899.37333333332,101792.29833333332
697,88880.41333333333,101745.85833333332
698,88861.95333333332,101741.19833333333
699,88753.70333333332,101775.98833333333
700,88861.97333333333,101696.35833333332
701,88776.51333333332,101523.26833333333
702,88732.09333333332,101758.72833333333
703,88747.19333333333,101798.53833333333
704,88708.67333333332,101852.12833333333
705,88666.17333333332,101841.06833333333
706,88745.00333333333,101869.30833333333
707,88711.79333333333,101810.59833333333
708,88628.67333333332,101954.37833333333
709,88606.70333333332,101924.28833333333
710,88633.67333333332,101914.45833333333
711,88622.49333333333,101912.05833333333
712,88600.97333333333,101945.56833333333
713,88598.17333333332,102046.64833333333
714,88611.83333333333,102142.60833333332
715,88618.64333333333,101999.48833333333
716,88660.62333333332,102097.12833333333
717,88559.97333333333,102186.58833333333
718,88539.78333333333,102167.09833333333
719,88455.49333333333,102195.70833333333
720,88464.72333333333,102162.52833333334
721,88484.10333333333,102039.71833333332
722,88589.09333333332,101915.49833333332
723,88567.40333333334,101663.80833333333
724,88533.49333333333,101538.69833333333
725,88511.57333333333,101561.53833333333
726,88395.77333333333,101556.32833333332
727,88284.71333333333,101625.75833333333
728,88336.37333333332,101556.90833333333
729,88365.27333333333,101506.18833333332
730,88419.50333333333,101431.12833333333
731,88481.68333333333,101412.25833333333
732,88683.30333333333,101395.20833333333
733,88655.69333333333,101464.35833333332
734,88658.69333333333,101536.58833333333
735,88603.93333333333,101525.30833333333
736,88655.16333333333,101471.10833333332
737,88666.06333333332,101497.24833333332
738,88642.53333333333,101421.99833333332
739,88668.72333333333,101498.06833333333
740,88682.50333333333,101596.77833333334
741,88609.67333333332,101547.41833333333
742,88593.27333333333,101560.40833333333
743,88735.83333333333,101446.44833333333
744,88752.91333333333,101447.12833333333
745,88782.16333333333,101416.80833333333
746,88817.03333333333,101453.84833333333
747,88838.33333333333,101572.87833333333
748,88886.37333333332,101814.51833333333
749,88908.13333333333,101790.04833333332
750,88915.35333333333,101644.53833333333
751,88934.82333333333,101583.69833333333
752,88854.04333333333,101611.04833333332
753,88801.81333333332,101631.46833333332
754,88824.25333333333,101682.71833333332
755,88857.33333333333,101727.10833333332
756,88897.79333333333,101673.62833333333
757,88901.24333333333,101569.15833333333
758,88899.87333333332,101623.45833333333
759,88909.35333333333,101678.52833333334
760,88897.45333333332,101704.82833333332
761,88889.89333333333,101717.78833333333
762,88955.50333333333,101619.10833333332
763,88934.74333333333,101578.46833333332
764,88997.12333333332,101553.26833333333
765,88966.84333333332,101485.49833333332
766,88952.53333333333,101509.53833333333
767,88942.09333333332,101541.54833333332
768,88921.22333333333,101600.98833333333
769,88944.85333333333,101507.10833333332
770,88955.48333333332,101474.76833333333
771,88958.88333333333,101452.57833333332
772,88912.21333333333,101385.14833333333
773,88907.40333333334,101302.28833333333
774,88933.41333333333,101272.27833333334
775,88911.59333333332,101289.96833333332
776,88841.43333333333,101232.82833333332
777,88817.76333333332,101209.63833333332
778,88824.37333333332,101171.56833333333
779,88832.01333333332,101156.66833333333
780,88829.08333333333,101128.95833333333
781,88782.73333333332,101098.43833333332
782,88793.08333333333,101120.40833333333
783,88778.36333333333,101097.13833333332
784,88805.54333333333,101111.50833333333
785,88818.10333333333,101137.29833333332
786,88970.85333333333,101230.21833333332
787,88951.45333333332,101305.23833333333
788,88956.79333333333,101321.84833333333
789,88957.08333333333,101461.02833333334
790,88919.46333333333,101605.01833333333
791,88917.83333333333,101622.64833333333
792,88997.38333333333,101636.54833333332
793,89037.29333333333,101684.43833333332
794,89158.45333333332,101759.24833333332
795,89136.02333333333,101783.49833333332
796,89121.62333333332,101869.30833333333
797,89116.46333333333,101952.42833333333
798,89075.70333333332,101898.28833333333
799,89057.06333333332,101879.31833333333
800,89032.98333333332,101921.48833333333
801,89057.95333333332,101863.44833333333
802,89092.65333333334,101984.00833333333
803,89057.71333333333,102066.95833333333
804,89010.77333333333,102114.98833333333
805,89027.69333333333,102205.93833333332
806,88942.28333333333,102229.52833333334
807,88772.80333333333,102288.85833333332
808,88841.76333333332,102303.51833333333
809,88943.42333333332,102278.22833333333
810,89017.21333333333,102319.64833333333
811,89020.88333333333,102310.88833333332
812,88967.35333333333,102313.78833333333
813,89009.05333333333,102244.98833333333
814,89036.70333333332,102193.20833333333
815,88951.95333333332,102158.48833333333
816,88919.55333333333,102159.06833333333
817,88914.17333333332,102200.49833333332
818,88927.44333333333,102216.26833333333
819,89025.35333333333,102260.61833333333
820,88975.94333333333,102299.85833333332
821,88972.35333333333,102217.50833333333
822,88971.48333333332,102181.30833333333
823,88874.91333333333,102164.22833333333
824,88833.53333333333,102109.44833333333
825,88821.01333333332,102035.03833333333
826,88792.31333333332,101950.99833333332
827,88810.05333333333,101904.58833333333
828,88829.58333333333,101926.61833333333
829,88804.05333333333,101961.83833333333
830,88842.02333333333,101925.00833333333
831,88809.71333333333,101870.10833333332
832,88720.26333333332,101884.37833333333
833,88741.83333333333,101882.83833333333
834,88698.75333333333,101836.87833333333
835,88720.26333333332,101828.58833333333
836,88710.89333333333,101922.41833333333
837,88703.25333333333,101872.19833333333
838,88744.82333333333,101877.38833333332
839,88764.70333333332,101861.59833333333
840,88768.86333333333,101837.74833333332
841,88670.54333333333,101833.30833333333
842,88599.35333333333,101808.86833333333
843,88631.38333333333,101756.13833333332
844,88629.27333333333,101711.36833333333
845,88639.74333333333,101756.10833333332
846,88654.85333333333,101806.87833333333
847,88733.55333333333,101799.02833333334
848,88723.69333333333,101825.83833333333
849,88674.97333333333,101885.42833333333
850,88620.20333333332,101827.52833333334
851,88613.36333333333,101829.38833333332
852,88655.64333333333,101881.18833333332
853,88608.85333333333,101885.30833333333
854,88643.11333333333,101908.60833333332
855,88529.17333333332,101842.85833333332
856,88446.64333333333,101831.95833333333
857,88376.49333333333,101834.22833333333
858,88293.27333333333,101799.21833333332
859,88265.26333333332,101881.73833333333
860,88334.19333333333,101932.05833333333
861,88437.07333333333,101808.41833333333
862,88427.36333333333,101950.78833333333
863,88474.72333333333,101827.28833333333
864,88542.87333333332,101756.28833333333
865,88545.93333333333,101670.11833333333
866,88584.92333333332,101669.04833333332
867,88640.15333333334,101872.14833333333
868,88633.52333333333,101822.79833333332
869,88564.69333333333,101843.34833333333
870,88564.17333333332,101778.40833333333
871,88612.21333333333,101794.30833333333
872,88639.76333333332,101834.30833333333
873,88692.66333333333,101838.59833333333
874,88706.79333333333,101877.48833333333
875,88696.36333333333,101832.17833333333
